date,break_type
2025-10-06,double break
2025-10-15,double break
2025-10-16,double break
2025-10-21,double break
2025-10-28,double break
2025-11-07,double break
2025-11-10,double break
2025-11-11,double break
2025-11-20,double break
2025-11-21,double break
2025-12-02,double break
2025-12-10,double break
2025-12-15,no break
2025-12-16,double break
2025-12-19,no break
2025-12-26,no break
2025-12-30,double break
2026-01-08,no break
2026-01-20,double break
2026-01-22,no break
2026-02-11,no break
2026-02-17,double break
2026-02-19,double break
2026-03-06,double break
2026-03-16,double break
2026-03-23,double break
2026-03-31,double break
2026-04-07,double break
2026-04-09,double break
2026-04-10,double break
2026-04-23,double break
2026-05-04,double break
2026-05-07,double break
2026-05-11,double break
2026-06-03,no break
2026-06-10,double break
2026-06-11,double break
2026-06-24,double break
2026-06-25,no break
2026-07-01,double break
2026-07-08,double break
2026-07-10,double break
2026-07-13,double break
2026-07-24,double break
2026-07-29,double break
2026-07-31,no break
2026-08-10,no break
2026-08-17,double break
2026-08-19,no break
2026-08-24,no break
2026-08-28,double break
2026-09-01,double break
2026-09-08,no break
2026-09-11,double break
2026-09-16,double break
2026-09-18,double break
