date,break_type,retr_pct
2025-09-26,breakout,15.47
2025-09-29,breakdown,17.09
2025-09-30,breakout,91.26
2025-10-01,breakout,10.63
2025-10-02,breakdown,72.58
2025-10-03,breakdown,37.39
2025-10-07,breakdown,6.55
2025-10-08,breakout,0.64
2025-10-09,breakdown,56.91
2025-10-10,breakdown,0.00
2025-10-13,breakout,23.54
2025-10-14,breakout,18.01
2025-10-17,breakout,45.71
2025-10-20,breakout,10.52
2025-10-22,breakdown,44.57
2025-10-23,breakout,33.33
2025-10-24,breakout,43.07
2025-10-27,breakout,30.91
2025-10-29,breakdown,49.13
2025-10-30,breakdown,8.01
2025-10-31,breakdown,41.76
2025-11-03,breakdown,57.19
2025-11-04,breakdown,30.69
2025-11-05,breakout,26.14
2025-11-06,breakdown,12.09
2025-11-12,breakdown,41.05
2025-11-13,breakdown,0.00
2025-11-14,breakout,0.00
2025-11-17,breakdown,82.27
2025-11-18,breakdown,94.59
2025-11-19,breakdown,62.03
2025-11-24,breakout,3.06
2025-11-25,breakout,19.10
2025-11-26,breakout,0.00
2025-11-27,breakdown,56.91
2025-11-28,breakout,59.89
2025-12-01,breakout,37.00
2025-12-03,breakout,36.51
2025-12-04,breakdown,68.96
2025-12-05,breakdown,45.24
2025-12-08,breakdown,19.26
2025-12-09,breakout,31.36
2025-12-11,breakout,7.79
2025-12-12,breakdown,28.57
2025-12-17,breakdown,0.00
2025-12-18,breakout,86.83
2025-12-22,breakdown,44.90
2025-12-23,breakout,16.67
2025-12-24,breakout,3.96
2025-12-29,breakdown,71.54
2025-12-31,breakdown,53.63
2026-01-02,breakdown,10.53
2026-01-05,breakout,92.43
2026-01-06,breakout,19.88
2026-01-07,breakout,63.53
2026-01-09,breakout,40.57
2026-01-12,breakout,6.05
2026-01-13,breakdown,92.63
2026-01-14,breakdown,43.79
2026-01-15,breakdown,86.74
2026-01-16,breakdown,39.16
2026-01-19,breakout,17.21
2026-01-21,breakout,94.41
2026-01-23,breakout,40.05
2026-01-26,breakout,25.24
2026-01-27,breakout,23.33
2026-01-28,breakdown,24.22
2026-01-29,breakdown,66.06
2026-01-30,breakdown,95.98
2026-02-02,breakout,24.30
2026-02-03,breakdown,10.58
2026-02-04,breakdown,12.06
2026-02-05,breakdown,82.17
2026-02-06,breakout,3.53
2026-02-09,breakout,3.35
2026-02-10,breakdown,10.18
2026-02-12,breakdown,0.00
2026-02-13,breakout,51.24
2026-02-16,breakdown,74.46
2026-02-18,breakout,67.70
2026-02-20,breakout,50.37
2026-02-23,breakdown,7.14
2026-02-24,breakout,14.69
2026-02-25,breakout,4.76
2026-02-26,breakdown,46.83
2026-02-27,breakout,57.77
2026-03-02,breakout,27.94
2026-03-03,breakout,19.00
2026-03-04,breakout,34.19
2026-03-05,breakdown,61.36
2026-03-09,breakout,0.00
2026-03-10,breakout,74.67
2026-03-11,breakdown,55.28
2026-03-12,breakdown,54.42
2026-03-13,breakdown,0.00
2026-03-17,breakdown,63.35
2026-03-18,breakdown,56.17
2026-03-19,breakout,76.82
2026-03-20,breakdown,46.36
2026-03-24,breakout,85.69
2026-03-25,breakdown,83.75
2026-03-26,breakdown,36.83
2026-03-27,breakdown,74.64
2026-03-30,breakdown,58.45
2026-04-01,breakout,51.49
2026-04-02,breakout,0.00
2026-04-06,breakdown,63.20
2026-04-08,breakdown,55.49
2026-04-13,breakout,29.19
2026-04-14,breakout,29.12
2026-04-15,breakout,21.05
2026-04-16,breakout,55.27
2026-04-17,breakout,27.65
2026-04-20,breakdown,32.37
2026-04-21,breakdown,37.70
2026-04-22,breakout,28.37
2026-04-24,breakout,14.78
2026-04-27,breakout,32.60
2026-04-28,breakdown,85.03
2026-04-29,breakout,80.85
2026-04-30,breakout,3.50
2026-05-01,breakout,39.28
2026-05-05,breakout,34.66
2026-05-06,breakout,0.00
2026-05-08,breakout,13.46
2026-05-12,breakdown,49.88
2026-05-13,breakout,3.28
2026-05-14,breakout,39.56
2026-05-15,breakout,59.56
2026-05-18,breakdown,0.00
2026-05-19,breakout,49.63
2026-05-20,breakout,26.97
2026-05-21,breakout,21.95
2026-05-22,breakout,81.47
2026-05-25,breakdown,94.44
2026-05-26,breakout,76.97
2026-05-27,breakdown,60.49
2026-05-28,breakout,2.34
2026-05-29,breakdown,53.55
2026-06-01,breakout,9.84
2026-06-02,breakout,21.81
2026-06-04,breakout,0.70
2026-06-05,breakdown,2.12
2026-06-08,breakout,81.98
2026-06-09,breakdown,0.00
2026-06-12,breakout,54.94
2026-06-15,breakout,0.38
2026-06-16,breakdown,19.07
2026-06-17,breakdown,88.59
2026-06-18,breakout,58.40
2026-06-19,breakout,87.11
2026-06-22,breakdown,0.00
2026-06-23,breakdown,31.71
2026-06-26,breakout,78.86
2026-06-29,breakout,1.02
2026-06-30,breakout,36.33
2026-07-02,breakdown,19.73
2026-07-03,breakdown,54.68
2026-07-06,breakout,60.19
2026-07-07,breakdown,75.35
2026-07-09,breakout,10.89
2026-07-14,breakout,62.94
2026-07-15,breakdown,30.60
2026-07-16,breakdown,17.54
2026-07-17,breakout,44.91
2026-07-20,breakdown,74.17
2026-07-21,breakout,35.85
2026-07-22,breakout,64.77
2026-07-23,breakdown,51.44
2026-07-27,breakdown,33.40
2026-07-28,breakout,20.85
2026-07-30,breakout,57.12
2026-08-03,breakout,0.27
2026-08-04,breakout,12.98
2026-08-05,breakdown,7.38
2026-08-06,breakout,51.32
2026-08-07,breakout,59.20
2026-08-11,breakdown,16.61
2026-08-12,breakdown,54.71
2026-08-13,breakout,36.04
2026-08-14,breakdown,28.89
2026-08-18,breakdown,50.81
2026-08-20,breakdown,50.83
2026-08-21,breakout,47.75
2026-08-25,breakdown,48.91
2026-08-26,breakout,29.83
2026-08-27,breakout,56.07
2026-08-31,breakout,11.59
2026-09-02,breakout,49.36
2026-09-03,breakout,0.00
2026-09-04,breakdown,30.05
2026-09-07,breakdown,71.59
2026-09-09,breakdown,37.32
2026-09-10,breakout,68.00
2026-09-14,breakout,8.09
2026-09-15,breakdown,11.21
2026-09-17,breakout,66.06
2026-09-21,breakout,6.35
2026-09-22,breakout,44.49
