time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,VWAP,Upper Band #1,Lower Band #1,RTH VWAP,VWAP +1 SD,VWAP -1 SD,POC,VAH,VAL,RTH Open,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3
1758547800,25862.25,25903.5,25861.25,25897,25881,25881,25881,25881,25881,25881,25887.25,25887.25,25887.25,,,,1,,,,,,,,,,,,,,
1758548100,25896.5,25905.25,25877,25881.75,25884.96642437869,25889.489819132796,25880.443029624585,25884.96642437869,25886.32344280492,25883.60940595246,25887.57600748318,25887.947793336807,25887.204221629556,,,,0,,,,,,,,,,,,,,
1758548400,25881.5,25896,25868.5,25894,25884.975521478533,25888.83784184532,25881.113201111744,25884.975521478533,25886.13421758857,25883.816825368496,25887.194155603105,25887.896382218976,25886.491928987234,,,,0,,,,,,,,,,,,,,
1758548700,25894.5,25912.5,25887.5,25904.75,25888.014927591386,25894.92283807966,25881.107017103113,25888.014927591386,25890.08730073787,25885.942554444904,25890.141828182732,25895.98288246715,25884.300773898314,,,,0,,,,,,,,,,,,,,
1758549000,25904.5,25925.75,25902.25,25924.5,25891.80758153816,25903.02974974061,25880.58541333571,25891.80758153816,25895.174231998895,25888.440931077424,25894.096842169474,25905.130676518664,25883.063007820285,,,,0,,,,,,,,,,,,,,
1758549300,25924.25,25927.5,25905,25919.25,25895.55902359972,25909.576882154517,25881.54116504492,25895.55902359972,25899.76438116616,25891.35366603328,25897.291031397814,25910.27957716598,25884.302485629647,,,,0,,,,,,,,,,,,,,
1758549600,25919.5,25933,25911.5,25921.25,25898.66953624441,25914.264349835943,25883.07472265288,25898.66953624441,25903.347980321872,25893.99109216695,25900.26532305059,25914.85037754506,25885.68026855612,,,,0,,,,,,,,,,,,,,
1758549900,25921.5,25936,25920.25,25926,25900.515618422003,25917.058417717508,25883.9728191265,25900.515618422003,25905.478458210655,25895.55277863335,25902.103509869252,25917.75127020108,25886.455749537425,,,,0,,,,,,,,,,,,,,
1758550200,25926.25,25926.75,25901.75,25909.75,25902.085304264216,25918.461577792143,25885.70903073629,25902.085304264216,25906.998186322595,25897.172422205836,25903.174125302925,25918.355759736463,25887.992490869387,,,,0,,,,,,,,,,,,,,
1758550500,25910.25,25926,25905.5,25919.5,25902.981089851884,25919.138642813603,25886.823536890166,25902.981089851884,25907.8283557404,25898.13382396337,25904.110455235434,25919.17504792637,25889.0458625445,,,,0,,,,,,,,,,,,,,
1758550800,25919.75,25943,25919.5,25937.25,25904.88261962227,25921.91586961011,25887.849369634427,25904.88261962227,25909.992594618623,25899.772644625915,25906.170762255133,25922.50133482968,25889.840189680584,,,,0,,,,,,,,,,,,,,
1758551100,25937,25952.75,25931.25,25950.5,25907.36054276114,25926.313401601587,25888.407683920694,25907.36054276114,25913.046400413274,25901.674685109007,25908.692396291495,25927.143088158515,25890.241704424476,,,,0,,,,,,,,,,,,,,
1758551400,25950.5,25952,25937.25,25943.5,25909.19534659124,25929.425417371374,25888.965275811108,25909.19534659124,25915.264367825283,25903.1263253572,25910.38909087243,25929.92458471984,25890.853597025023,,,,0,,,,,,,,,,,,,,
1758551700,25943.75,25956,25942,25955.25,25911.079917389212,25932.572579154432,25889.587255623992,25911.079917389212,25917.52771591878,25904.632118859645,25912.30375432501,25933.23051750931,25891.37699114071,,,,0,,,,,,,,,,,,,,
1758552000,25955.25,25968.5,25955,25965.5,25913.672473492472,25937.354442227614,25889.99050475733,25913.672473492472,25920.777064113016,25906.56788287193,25914.933327553757,25938.205826516863,25891.66082859065,,,,0,,,,,,,,,,,,,,
1758552300,25965.25,25973.5,25960.5,25962.25,25915.97808015377,25941.467603048426,25890.488557259116,25915.97808015377,25923.624937022167,25908.331223285375,25917.184566145093,25942.205333891063,25892.163798399124,,,,0,,,,,,,,,,,,,,
1758552600,25962.75,25978.25,25961,25966.75,25918.41959282307,25945.582190760197,25891.256994885942,25918.41959282307,25926.56837220421,25910.27081344193,25919.63907941712,25946.407157705078,25892.871001129162,,,,0,,,,,,,,,,,,,,
1758552900,25967.25,25976.5,25965.5,25973.75,25919.67839926667,25947.68461406204,25891.672184471303,25919.67839926667,25928.080263705284,25911.27653482806,25920.89661527888,25948.527276702014,25893.26595385575,,,,0,,,,,,,,,,,,,,
1758553200,25973.5,25985,25964.25,25966,25922.363746399387,25951.99531920848,25892.732173590295,25922.363746399387,25931.253218242116,25913.47427455666,25923.497288094502,25952.650323889742,25894.344252299263,,,,0,,,,,,,,,,,,,,
1758553500,25966,25971.5,25960.25,25969.25,25923.872270328728,25954.086028878228,25893.658511779227,25923.872270328728,25932.936397893576,25914.80814276388,25924.9757837227,25954.69357617614,25895.25799126926,,,,0,,,,,,,,,,,,,,
1758553800,25969.5,25972,25954.5,25956.75,25925.247157433972,25955.794023210405,25894.70029165754,25925.247157433972,25934.411217166904,25916.08309770104,25926.238495521073,25956.176126791368,25896.300864250778,,,,0,,,,,,,,,,,,,,
1758554100,25956.25,25962.25,25951.25,25954.5,25925.966920152092,25956.51160456706,25895.422235737125,25925.966920152092,25935.13032547658,25916.803514827603,25926.933643443354,25956.859099871188,25897.00818701552,,,,0,,,,,,,,,,,,,,
1758554400,25954.25,25965.75,25951.25,25964.25,25926.885504151487,25957.484850363595,25896.28615793938,25926.885504151487,25936.06530801512,25917.705700287854,25927.868276200003,25957.88420794299,25897.852344457016,,,,0,,,,,,,,,,,,,,
1758554700,25964.5,25970.75,25959,25967.25,25927.57139159818,25958.321410691045,25896.821372505314,25927.57139159818,25936.79639732604,25918.346385870318,25928.541848065644,25958.706516874114,25898.377179257175,,,,0,,,,,,,,,,,,,,
