date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2025-09-23,1,T2R,1,18,25960.45,25952.425,25996.5625,25952.425,-288.9000000000524,-320.2200000000524,stop,1300,1315
2025-09-23,1,T2X,-1,6,26000.575,26024.65,25956.4375,25960.45,481.5,474.06,reversed,1220,1300
2025-09-24,2,T2R,1,13,25809.15,25797.725,25860.5625,25797.725,-297.05000000007567,-319.6700000000757,stop,1140,1145
2025-09-25,3,T1-Z1,1,2,25633.8125,25567.8875,25688.75,25688.75,219.75,217.27,target,1105,1110
2025-09-26,4,T1-Z1,-1,2,25616.0,25662.9625,25567.0,25662.9625,-187.85000000000582,-191.3300000000058,stop,1030,1040
2025-09-29,0,T1-Z1,1,3,25990.3125,25952.2875,26022.0,25952.2875,-228.15000000000873,-233.37000000000873,stop,1030,1110
2025-09-30,1,T1-Z3a,1,4,25830.5,25796.5625,25877.75,25877.75,378.0,371.04,target,1025,1045
2025-09-30,1,T2X,1,3,25856.1,25812.8,25921.05,25812.8,-259.79999999999563,-265.01999999999566,stop,1115,1125
2025-10-01,2,T2R,-1,8,25973.4,25990.1,25898.25,25990.1,-267.19999999995343,-281.11999999995345,stop,1135,1205
2025-10-03,4,T2R,1,12,26074.0,26062.0,26128.0,26128.0,1296.0,1281.12,target,1305,1310
2025-10-06,0,T1-Z1,-1,5,26190.25,26211.1375,26164.0,26164.0,262.5,256.3,target,1030,1040
2025-10-07,1,T1-Z1,-1,10,26266.1,26280.6,26254.5,26254.5,231.9999999999709,219.5999999999709,target,1030,1035
2025-10-08,2,T1-Z1,1,3,26238.5625,26191.2375,26278.0,26278.0,236.625,232.905,target,1045,1125
2025-10-09,3,T1-Z1,-1,6,26310.15,26332.525,26292.25,26292.25,214.80000000001746,207.36000000001746,target,1100,1105
2025-10-10,4,T1-Z3a,-1,5,26381.75,26411.4375,26340.75,26340.75,410.0,401.3,target,1025,1055
